algorithm,n,input,time_ns,comparisons,swaps,accesses,allocations
InsertionSort,100,random,442400,693,1,5359,0
InsertionSort,100,random,288800,693,1,5359,0
InsertionSort,100,random,216100,693,1,5359,0
InsertionSort,100,random,178700,693,1,5359,0
InsertionSort,100,random,179300,693,1,5359,0
InsertionSort,100,sorted,18300,198,0,396,0
InsertionSort,100,sorted,13900,198,0,396,0
InsertionSort,100,sorted,14100,198,0,396,0
InsertionSort,100,sorted,13900,198,0,396,0
InsertionSort,100,sorted,16700,198,0,396,0
InsertionSort,100,reverse,281900,763,1,10665,0
InsertionSort,100,reverse,259400,763,1,10665,0
InsertionSort,100,reverse,260400,763,1,10665,0
InsertionSort,100,reverse,262900,763,1,10665,0
InsertionSort,100,reverse,254000,763,1,10665,0
InsertionSort,100,nearly,18300,222,0,440,0
InsertionSort,100,nearly,18200,222,0,440,0
InsertionSort,100,nearly,15600,222,0,440,0
InsertionSort,100,nearly,16300,222,0,440,0
InsertionSort,100,nearly,14800,222,0,440,0
InsertionSort,1000,random,3925900,10545,1,496313,0
InsertionSort,1000,random,1658900,10545,1,496313,0
InsertionSort,1000,random,1577600,10545,1,496313,0
InsertionSort,1000,random,1546300,10545,1,496313,0
InsertionSort,1000,random,1520200,10545,1,496313,0
InsertionSort,1000,sorted,15500,1998,0,3996,0
InsertionSort,1000,sorted,15900,1998,0,3996,0
InsertionSort,1000,sorted,80900,1998,0,3996,0
InsertionSort,1000,sorted,16300,1998,0,3996,0
InsertionSort,1000,sorted,16000,1998,0,3996,0
InsertionSort,1000,reverse,624000,10964,1,1009966,0
InsertionSort,1000,reverse,3246000,10964,1,1009966,0
InsertionSort,1000,reverse,3046400,10964,1,1009966,0
InsertionSort,1000,reverse,3075300,10964,1,1009966,0
InsertionSort,1000,reverse,3021500,10964,1,1009966,0
InsertionSort,1000,nearly,18800,2383,0,4569,0
InsertionSort,1000,nearly,17600,2383,0,4569,0
InsertionSort,1000,nearly,17700,2383,0,4569,0
InsertionSort,1000,nearly,72000,2383,0,4569,0
InsertionSort,1000,nearly,21600,2383,0,4569,0
InsertionSort,10000,random,22674500,138949,1,50406759,0
InsertionSort,10000,random,22690000,138949,1,50406759,0
InsertionSort,10000,random,22057600,138949,1,50406759,0
InsertionSort,10000,random,21739500,138949,1,50406759,0
InsertionSort,10000,random,22899800,138949,1,50406759,0
InsertionSort,10000,sorted,17700,19998,0,39996,0
InsertionSort,10000,sorted,17100,19998,0,39996,0
InsertionSort,10000,sorted,17300,19998,0,39996,0
InsertionSort,10000,sorted,19000,19998,0,39996,0
InsertionSort,10000,sorted,21500,19998,0,39996,0
InsertionSort,10000,reverse,43001300,143600,1,100133602,0
InsertionSort,10000,reverse,44049000,143600,1,100133602,0
InsertionSort,10000,reverse,91611600,143600,1,100133602,0
InsertionSort,10000,reverse,46263300,143600,1,100133602,0
InsertionSort,10000,reverse,72027300,143600,1,100133602,0
InsertionSort,10000,nearly,28500,25497,0,47385,0
InsertionSort,10000,nearly,28000,25497,0,47385,0
InsertionSort,10000,nearly,27800,25497,0,47385,0
InsertionSort,10000,nearly,27800,25497,0,47385,0
InsertionSort,10000,nearly,58200,25497,0,47385,0
InsertionSort,100000,random,2957358500,1722801,1,5014543491,0
InsertionSort,100000,random,2121080600,1722801,1,5014543491,0
InsertionSort,100000,random,3468046500,1722801,1,5014543491,0
InsertionSort,100000,random,3080105200,1722801,1,5014543491,0
InsertionSort,100000,random,3094733900,1722801,1,5014543491,0
InsertionSort,100000,sorted,153700,199998,0,399996,0
InsertionSort,100000,sorted,153600,199998,0,399996,0
InsertionSort,100000,sorted,153500,199998,0,399996,0
InsertionSort,100000,sorted,153700,199998,0,399996,0
InsertionSort,100000,sorted,153500,199998,0,399996,0
InsertionSort,100000,reverse,4316412900,1768909,1,10001668911,0
InsertionSort,100000,reverse,5824765000,1768909,1,10001668911,0
InsertionSort,100000,reverse,7179081800,1768909,1,10001668911,0
InsertionSort,100000,reverse,4600848100,1768909,1,10001668911,0
InsertionSort,100000,reverse,4639721500,1768909,1,10001668911,0
InsertionSort,100000,nearly,283700,266643,0,485019,0
InsertionSort,100000,nearly,285800,266643,0,485019,0
InsertionSort,100000,nearly,274400,266643,0,485019,0
InsertionSort,100000,nearly,279900,266643,0,485019,0
InsertionSort,100000,nearly,284600,266643,0,485019,0
